date,rank,name,artist,genre,lyrics
200901,1,Gee,소녀시대,가요 > 댄스,Aha! Listen Boy My First Love Story My Angel & My Girls My Sunshine ah! ah! let's go! 너무너무 멋져 눈이 눈이 부셔 숨을 못 쉬겠어 떨리는 Girl Gee Gee Gee Gee Baby Baby BabyGee Gee Gee Gee Baby Baby BabyOh 너무 부끄러워 쳐다볼 수 없어 사랑에 빠졌어 수줍은 Girl Gee Gee Gee Gee Baby Baby Baby Gee Gee Gee Gee Be Be Be Be Be Be 어떻게 하죠 (어떡 어떡하죠) 떨리는 나는 (떨리는 나는요) (두근 두근 두근 두근) 두근 두근거려 밤엔 잠도 못 이루죠 나는 나는 바본가봐요 그대 그대밖에 모르는 바보 그래요 그댈 보는 난 너무 반짝반짝 눈이 부셔 No No No No No 너무 깜짝깜짝 놀란 나는 Oh Oh Oh Oh Oh 너무 짜릿짜릿 몸이 떨려 Gee Gee Gee Gee Gee Oh 젖은 눈빛 Oh Ye Oh 좋은 향기 Oh Ye Ye Ye Oh 너무 너무 예뻐 맘이 너무 예뻐 첫 눈에 반했어 꼭 찍은 Girl Gee Gee Gee Gee Baby Baby Baby Gee Gee Gee Gee Baby Baby Baby너무나 뜨거워 만질 수가 없어 사랑에 타버려 후끈한 Girl Gee Gee Gee Gee Baby Baby BabyGee Gee Gee Gee Be Be Be Be Be Be어쩌면 좋아(어쩌면 좋아요) 수줍은 나는(수줍은 나는요) (몰라 몰라 몰라 몰라) 몰라몰라 하며 매일 그대만 그리죠친한 친구들은 말하죠 정말 너는 정말 못말려 바보 하지만 그댈 보는 난 너무 반짝반짝 눈이 부셔 No No No No No 너무 깜짝깜짝 놀란 나는 Oh Oh Oh Oh Oh 너무 짜릿짜릿 몸이 떨려 Gee Gee Gee Gee Gee Oh 젖은 눈빛 Oh Ye Oh 좋은 향기 Oh Ye Ye Ye말도 못했는 걸 너무 부끄러워 하는 난 용기가 없는걸까 어떡해야 좋은걸까 두근두근 맘 졸이며 바라보고 있는 난 너무 반짝반짝 눈이부셔 No No No No No 너무 깜짝깜짝 놀란 나는 Oh Oh Oh Oh Oh 너무 짜릿짜릿 몸이 떨려 (떨려와) Gee Gee Gee Gee Gee Oh 젖은 눈빛 Oh Ye Oh 좋은 향기 Oh Ye (눈이 부셔) 너무 반짝반짝 눈이 부셔 No No No No No 너무 깜짝깜짝 놀란 나는 Oh Oh Oh Oh Oh너무 짜릿짜릿 몸이 떨려 (떨려와) Gee Gee Gee Gee Gee Oh 젖은 눈빛 Oh Ye Oh 좋은 향기 Oh Ye Ye Ye
200901,2,이젠 남이야<U+00A0>(Feat. Baby-J of Jewelry),김경록,가요 > 발라드,차라리 만나지 말 걸 그랬나봐..이게 뭐야.. 결국 이렇게 될거면서..우리 그만 헤어지자..우린 사랑 하지 말았어야 돼 우린우린 사랑 하지 말았어야 돼 우린 그만 여기서 끝내자우린 사랑해선 안 됐어야 돼 우린 우린 사랑해선 안 됐어야 돼 우린 서로 반대로만 살자우린 이젠 남이야 남보다 더 못한 사이야서로가 상처만 주고 눈물만 흘리고 미움만 커지고 끝내사랑같은 거 안 해 그까짓 사랑 이제 싫어다시는 마주치지 마 내 얘기 하지 마 우린 남이니까술에 취한 널 내가 기다릴 필요 없고피곤해 하는 너를 받아줄 일 없고생일때마다 너에게 서운해 할 일 없고아무것도 너에게 난 바랄 일이 없어근데 참 이상하지?? 내가 왜 걱정되지??나 없인 아무 것도 못하는데.. 정말로 괜찮은지..나 없이 괜찮은지..우린 이젠 남이야 남보다도 못한 사이야서로가 상처만 주고 눈물만 흘리고 미움만 커지고 끝내사랑같은 거 안 해 그까짓 사랑 이제 싫어다시는 마주치지 마 내 얘기 하지 마 우린 남이니까이럴 걸 왜 사랑해 이럴 걸 왜 잘해준거니잊기만 힘들어 지게 자꾸 생각나게 네 품이 그리워지게다시 사랑하지 마 나같은 사람 만들지 마똑같은 상처 주지 마 잘해주지도 마 결국 남이니까우린 사랑 하지 말았어야 돼 우린우린 사랑 해선 안됐어야 돼 우린 이젠 우리도 남이야
200901,3,Strong Baby<U+00A0>(승리 solo),BIGBANG,가요 > 랩/힙합,hey sexy (clap clap clap clap)tonight you know (clap clap clap clap)I'm a strong baby (clap clap clap clap)put on my jacket and thenlet's make love tonight 오늘밤 내 눈을 가려줘여기까지란 소린 마 날 놓지 말아줘터지는 네온싸인 깨지는 미러볼이 곳엔 너와 나 단 둘이서 rock and roll(헤이 거기 baby tell me what you want it say yeah)아직도 넌 누굴 기다리고 있는지(헤이 거기 baby take me 어서 빨리 come to me)거칠게 다가와 don't stop이제 시작이야 하나가 될 시간이야내 발등에 너의 발이 내 몸 속에 너의 팔이같이 춤을 추고 같이 불을 피죠we're so hottest in the world like d d d d d this yoyou like it (clap clap clap clap)we all grown up (clap clap clap clap)새빨간 거짓말 내가 싫다 말 하지마왜 이제와 딴소리 네 볼에 남은 키스자국절대로 잊지 못할 어젯밤 뜨거웠던 밤은나이는 묻지마 I'll guess you know love me(헤이 거기 baby tell mewhat you want it say yeah)떨리는 눈 뭘 망설이고 있는지(헤이 거기 baby take me 어서 빨리 come to me)너무 겁내지마 relex your mind I'm so so so cool이제 시작이야 하나가 될 시간이야내 발등에 너의 발이 내 몸 속에 너의 팔이같이 춤을 추고 같이 불을 피죠we're so hottest in the world like d d d d d this yolet's party baby shake it baby all night long just one night one shotV I C T O R Y feel me my baby (hot like the fire) 넌 아니라 말하지만 네 눈은 말하잖아음악 속에 널 던져 C'mon girl with me이제 시작이야 하나가 될 시간이야내 발등에 너의 발이 내 몸 속에 너의 팔이같이 춤을 추고 같이 불을 피죠we're so hottest in the world like d d d d d this yocome a little closer (clap clap clap clap)ye just like that (clap clap clap clap)you know how it is (clap clap clap clap)V.I like this bye ladies
200901,4,러브119 (Love119)<U+00A0>(Feat. MC몽),케이윌(K.will),가요 > 발라드,[MC 몽]내 심장이 내 사랑이 멈출 것 같아도나 지금 아파 열이 나 숨도 못 쉬어멍든 가슴은 니 이름만 외쳐I can't believe that is over너라는 여자 남에게는 못 줘내 사랑은 단 하루도 못 쉬어내 가슴은 너 없이는 못 뛰어너 없이는 뭘 할 수 있겠어I can't believe that is overI can't never let you goThat you why you got to know지쳐 쓰러질 때까지 난 사랑을 원하고이젠 제발 날 사랑해줘하나뿐인 Girl friend let's begin다시 시작해 Till the end[K.Will]널 사랑해 세월이 지나도널 사랑해 세상이 변한대도다른 누구도 널 대신 할 수 없어 너도 알고 있잖아내 사랑은 단 하루도 못 쉬어너 없이 나 한 순간도 못 살아니가 있어야만 난 숨을 쉬어영원히 언제까지나 사랑해[MC 몽]P L E A S E 내 사랑은 Emergency돌아와 Give me one more chance to me우린 떼어낼수 없는 meant to beP L E A S E 내 사랑은 Emergency돌아와 Give me one more chance to me우린 떼어낼수 없는 meant to be제발 나만 선택해 우리 사랑이 불타버리게너를 못보는 것보다 차라리 담배를 끊는게 편해이젠 제발 날 사랑해줘하나뿐인Girl friend let's begin다시 시작해 Till the end[K.Will]널 사랑해 세월이 지나도널 사랑해 세상이 변한대도다른 누구도 널 대신 할 수 없어 너도 알고 있잖아내 사랑은 단 하루도 못 쉬어너 없이 나 한 순간도 못 살아니가 있어야만 난 숨을 쉬어영원히 언제까지나 사랑해[MC 몽]심장이 멈출것 같아도 (심장이 멈출것 같아도)내 사랑 너와 나 이대로 (내 사랑 너와 나 이대로)[K.Will]고마워 날 사랑해줘서 고마워 날 웃게해줘서[MC 몽]내 심장이 내 사랑이 멈출것 같아도[K.Will]나의 눈이 아닌 내 가슴으로 하는 말 언제까지나 널 사랑해 10년이 지나도 그대 밤을 비추는 저 별 처럼다시 한번 태어나더라도 그렇게 난 그대만을 사랑해[MC 몽]Back back I want it back힘이될 사랑을 지켜줘You you you got to know너만을 위해 I need your loveBack back I want it back힘이될 사랑을 지켜줘You you you got to know너만을 위해 I need your love[K.Will]널 사랑해
200901,5,U R Man,SS501,가요 > 댄스,전화길 다시 내려놓고꽃다발 가슴에 묻어두고밤새워 써둔 편지도 비에 적셔 내리네창문을 또 열어보고그대 이름을 불러도대답없는 벨소리만 귓가에 들리네아까 아까워 난 모든 것이 그리워아까워 난 모든 것이 괴로워아까 아까 아까워 난 너 말고는 다른 여잔몰라I`m your man I'm your man 그대여따라다따 오늘도 나는 오늘도 그대만 생각해I'm your man I'm your man 그대여따라다따 오늘도 그대가 떠나질 않아 I'm your manI'm your man 거리를 또 헤매죠 어딘지도 몰라요혹시라도 또 그대가 나타날까I'm your man 꿈에라도 모르죠 웃으며 반겨줄까다시 찾아올지 몰라 I'm your man눈감으니 더 선명해도 귓가에 목소리 들려와도그대 향기 맴돌아도 이미 그댄 떠나고떠나니 더 생각나고 가고 나서야 알았죠이게 바로 사랑일까 떠나간 그대여아까 아까워 난 모든 것이 그리워아까워 난 모든것이 괴로워아까 아까 아까워 난 떠나버린 니 생각에돌아I'm your man I'm your man 그대여따라다따 오늘도 나는 오늘도 그대만 생각해I'm your man I'm your man 그대여따라다따 오늘도 그대가 떠나질 않아 I'm your manI'm your man 거리를 또 헤매죠 어딘지도 몰라요혹시라도 또 그대가 나타날까I'm your man 꿈에라도 모르죠 웃으며 반겨줄까다시 찾아올지 몰라 I'm your man떠나간 니가 울던 걸 알아 그래도 이젠 지운 걸 알아이젠 나란 남잔 잊은거잖아 비참하잖아왜 난 안되니 내가 니사람이잖아I'm your man I'm your man 그대여따라다따 오늘도 나는 오늘도 그대만 생각해I'm your man I'm your man 그대여따라다따 오늘도 그대가 떠나질 않아 I'm your manI'm your man 거리를 또 헤매죠 어딘지도 몰라요혹시라도 또 그대가 나타날까I'm your man 꿈에라도 모르죠 웃으며 반겨줄까다시 찾아올지 몰라 I'm your manI'm your man
200901,6,Stylish (The FILA),BIGBANG,가요 > 랩/힙합,my energy don`t stop 모두 다 같이 더 높이 날아 꿈을 펼쳐 세계로 우리는 family No.1 fresh and clean 도전해 stronger 숨이 멈추는 날까지Lights camera (action!) 좀 더 멋지게 폼나게 꾸며봐요감각과 잘 갖춘 센스 난 어디가든 빛이나요서울부터 이태리까지 해가 뜨고 질 때까지신나게 음악에 네 몸을 한번 맡겨 봐One two and the threeWant you follow meI feel highI feel highI feel high달려 저 멀리 승리를 향해 뛰어ma FILA이 세상 끝까지 Let me gomy energy don`t stop 모두 다 같이더 높이 날아 꿈을 펼쳐 세계로 우리는 familyNo.1 fresh and clean도전해 stronger 숨이 멈추는 날까지It's the F to the I to the L to the A 자 내게 맡겨 봐 I`m the best on doubtI'm a T.O.P  바로 이 순간Party People up이제부터 달라질 이 모든 것믿어 봐 FILA 이제내게 but모든 사람들이 want 모두 하나쯤은 want갖고 싶어지는 법becausethey know what's up we got thatbump bump bump everybody you`re my left everybody you`re my righteverybody just jump jump jumpstylish 한 멋이 나we are FILA 크게 불러 봐 say what?we got the brand-new bang passion fashion straight up tensionmy energy don`t stop 모두 다 같이더 높이 날아 꿈을 펼쳐 세계로 우리는 familyNo.1 fresh and clean도전해 stronger 숨이 멈추는 날까지음악이 멈춘지 심장이 멈춘지나를 깨울 그대만은 Please baby with me along We want you know그대로 더 크게 예이예 놀아 볼래 Oh -F I L AOh -Yeah - my energy don`t stop 모두 다 같이더 높이 날아 꿈을 펼쳐 세계로 우리는 familyNo.1 fresh and clean도전해 stronger 숨이 멈추는 날까지우리는 familyNo.1 fresh and clean도전해 stronger 숨이 멈추는 날까지
200901,7,내 머리가 나빠서,SS501,가요 > 발라드,내 머리는 너무나 나빠서 너 하나밖에 난 모르고다른 사람을 보고 있는 넌 이런 내 마음도 모르겠지너의 하루에 나란 없겠지 또 추억조차 없겠지만너만 바라만 보고 있는 난 자꾸 눈물이 흐르고 있어너의 뒷모습을 보는것도 난 행복이야아직 나의 마음을 몰라도 끝내 스치듯이 가도 워~니가 너무 보고싶은 날엔 너무 견디기 힘든 날에는너를 사랑한다 입가에 맴돌아혼자 다시 또 Crying for you혼자 다시 또 Missing for youBaby I love you I`m waiting for you너의 하루에 난 없겠지 또 기억조차 없겠지만너만 바라만 보고 있는 나 혼자 추억을 만들고 있어내겐 사랑이란 아름다운 상처같아너의 예쁜 미소를 보아도 함께 난 웃지도 못해 워~니가 너무 생각나는 날엔 가슴 시리고 슬픈 날에는니가 보고싶다 입가에 맴돌아혼자 다시 또 Crying for you혼자 다시 또 Missing for youBaby I love you I`m waiting for you(간주중)Bye bye never say good bye이렇게 잡지 못하지만I need you 아무 말도 못해 I want you 바래도 다시 바래도니가 너무 보고싶은 날엔 너무 견디기 힘든 날에는너를 사랑한다 입가에 맴돌아혼자 다시 또 Crying for you니가 너무 생각나는 날엔 가슴 시리고 슬픈 날에는니가 보고싶다 입가에 맴돌아혼자 다시 또 Crying for you혼자 다시 또 Missing for youBaby I love you I`m waiting for you
200901,8,연애소설,가비엔제이(Gavy nj),가요 > 발라드,자꾸 너만 바라보게 되잖아 너의 곁에 다른 사람있는데언제나 두눈 속에 너만 내 맘속에 너만 또 가득찬걸가끔 스치듯이 웃어줄때면 하루종일 그 미소만 생각나알겠니 너의 그녀가 나였으면 내 사랑이 꼭 너였으면 사랑하고 싶어 너를 갖고 싶어 밤새 준비했던 말한마디 못했지만내겐 너 뿐이야 날 울리는 사람 나를 설레게한 단 한 사람 아파도 좋은걸 가질순 없어도 너의 뒤에서 난 너만 간직하며 살게그래도 괜찮아 널 사랑해서 널 볼수만 있다면너의 그녀 어디가 그리 좋아 그녈 보고 늘 웃고 있는건지 나 역시 어쩔수 없는 여잔가봐 그녀가 너무 부럽잖아사랑하고 싶어 너를 갖고 싶어 밤새 준비했던 말한마디 못했지만내겐 너 뿐이야 날 울리는 사람 나를 설레게한 단 한 사람 아파도 좋은걸 가질순 없어도 너의 뒤에서 난 너만 간직하며 살게그래도 괜찮아 널 사랑해서 널 볼수만 있다면다짐해도 내 눈은 너만 향하는데내 맘이 미쳤나봐 너만을 찾나봐 정말 사랑해선 안되는데너란 말야 오직 너란 말야 바라고 또 바래 아무 소용 없겠지만이젠 돌아갈래 너를 놓아줄게 너무 사랑스런 그녀잖아아파도 좋은걸 가질순 없어도 너의 뒤에서 난 너만 간직하며 살게고마워 내 사랑은 아니라도 널 볼수가 있어서
200901,9,Pretty Girl,카라(Kara),가요 > 댄스,If you wanna pretty every wanna pretty 안된다는 맘은  no no no no If you wanna pretty every wanna pretty 어디서나 당당하게 걷기 나와 맞는 옷에 또 받쳐주는 말투센스있는 포즈 그냥 되지는 않죠 생활 상식은 기본 시사 상식은 선택 다 끊임 없는 노력이죠 Girl Pretty Girl Pretty Girl 조금도 망설일 것 없죠 난 Beautiful Girl Beautiful GirlBeautiful ye ye ye ye Girl Pretty Girl Pretty Girl 그냥 되진 않는거죠 난 Beautiful Girl Beautiful ye ye ye ye common Beautiful Girl ye ye ye yeIf you wanna pretty every wanna pretty 안된다는 맘은 no no no no If you wanna pretty every wanna pretty 어디서나 당당하게 걷기 Girl Pretty Girl Pretty Girl 조금도 망설일 것 없죠 난 Beautiful Girl Beautiful GirlBeautiful ye ye ye yeGirl Pretty Girl Pretty Girl 그냥 되진 않는거죠 난 Beautiful Girl Beautiful ye ye ye ye common Beautiful Girl마음은 예쁘게 표정은 산뜻하게 하루를 시작하면서 잊지 말아야 하죠 두 눈을 깜박이며 살짝 미소 지으면 이젠 모든게 완벽하죠 Girl Pretty Girl Pretty Girl 누구라도 될 수 있죠 난 Beautiful Girl Beautiful ye ye ye ye ye ye ye yeGirl Pretty Girl Pretty Girl 그냥 되진 않는거죠 난 Beautiful Girl Beautiful Girl ye~If you wanna pretty every wanna pretty 안된다는 말은  no no no no If you wanna pretty every wanna pretty 어디서나 당당하게 걷기
200901,10,총 맞은 것처럼,백지영,가요 > 발라드,총맞은것처럼정신이 너무 없어 웃음만 나와서 그냥 웃었어 그냥 웃었어 그냥허탈하게 웃으며하나만 묻자 했어우리 왜헤어져 어떻게 헤어져 어떻게 헤어져  어떻게 구멍난 가슴에 우리 추억이 흘러 넘쳐 잡아보려해도 가슴을 막아도 손가락 사이로 빠져나가 심장이 멈춰도 이렇게아플거 같진 않아 어떻게 좀 해줘   날 좀 치료해줘이러다 내 가슴 다 망가져 구멍난 가슴이 어느새 눈물이 나도 모르게 흘러 이러기 싫은데정말 싫은데 정말 싫은데  정말 일어서는 널 따라 무작정 쫓아갔어 도망치듯 걷는 너의 뒤에서 너의 뒤에서 소리쳤어구멍난 가슴에 우리 추억이 흘러 넘쳐 잡아보려해도 가슴을 막아도 손가락 사이로 빠져나가 심장이 멈춰도  이렇게아플거 같진 않아 어떻게 좀 해줘 날 좀 치료해줘 이러다 내 가슴 다 망가져 총맞은 것처럼 정말 가슴이 너무 아파 이렇게 아픈데 이렇게 아픈데 살 수가 있다는 게 이상해어떻게 너를 잊어  내가 그런거 나는 몰라  몰라가슴이 뻥 뚫려채울 수 없어서 죽을만큼 아프기만 해 총맞은것처럼
